0,계약일,가격,타입
1,2019.10.15,74800,108타입
2,2019.10.01,75400,108타입
3,2019.07.31,75000,108타입
4,2019.07.23,74500,108타입
5,2019.06.02,69000,108타입
6,2019.06.01,67800,108타입
7,2019.03.05,70000,108타입
8,2018.08.26,76000,108타입
9,2018.08.24,72000,108타입
10,2018.08.18,66000,108타입
11,2018.08.17,75000,108타입
12,2018.08.16,72000,108타입
13,2018.08.11,67500,108타입
14,2018.08.08,63000,108타입
15,2018.07.18,61000,108타입
16,2018.06.26,54500,108타입
17,2018.06.16,62000,108타입
18,2018.06.12,62000,108타입
19,2018.05.24,62750,108타입
20,2018.05.12,61500,108타입
21,2018.04.02,53900,108타입
22,2018.03.21,60000,108타입
23,2018.03.01,60000,108타입
24,2018.02.22,60000,108타입
25,2018.01.27,62000,108타입
26,2018.01.27,62000,108타입
27,2018.01.20,50000,108타입
28,2018.01.18,57400,108타입
29,2018.01.16,57800,108타입
30,2018.01.12,59300,108타입
31,2017.12.27,48500,108타입
32,2017.12.26,54900,108타입
33,2017.12.14,47000,108타입
34,2017.12.09,52500,108타입
35,2017.12.08,54000,108타입
36,2017.11.27,60000,108타입
37,2017.11.20,55000,108타입
38,2017.11.03,59000,108타입
39,2017.11.02,55600,108타입
40,2017.10.15,55500,108타입
41,2017.10.15,54000,108타입
42,2017.10.12,55900,108타입
43,2017.09.09,55000,108타입
44,2017.09.05,55000,108타입
45,2017.08.01,60000,108타입
46,2017.07.20,56000,108타입
47,2017.07.16,55800,108타입
48,2017.07.15,50000,108타입
49,2017.07.15,54800,108타입
50,2017.07.06,53800,108타입
51,2017.06.17,55000,108타입
52,2017.06.07,52250,108타입
53,2017.06.07,55900,108타입
54,2017.04.03,49800,108타입
55,2017.03.18,56000,108타입
56,2017.02.18,50500,108타입
57,2016.12.06,53000,108타입
58,2016.11.11,49800,108타입
59,2016.10.15,48500,108타입
60,2016.10.10,55000,108타입
61,2016.09.28,52600,108타입
62,2016.09.09,52500,108타입
63,2016.09.03,50500,108타입
64,2016.08.21,52000,108타입
65,2016.08.18,51500,108타입
66,2016.08.10,53000,108타입
67,2016.07.04,51000,108타입
68,2016.07.01,48500,108타입
69,2016.06.18,42500,108타입
70,2016.06.13,41900,108타입
71,2016.05.09,46350,108타입
72,2016.05.03,49800,108타입
73,2016.04.22,50000,108타입
74,2016.04.19,49000,108타입
75,2016.04.14,48000,108타입
76,2016.03.19,47000,108타입
77,2016.03.16,39500,108타입
78,2016.03.12,44500,108타입
79,2016.02.18,47000,108타입
80,2016.02.13,49500,108타입
81,2016.02.05,46000,108타입
82,2016.02.04,42500,108타입
83,2016.01.04,47000,108타입
84,2015.12.29,47000,108타입
85,2015.12.24,47200,108타입
86,2015.12.18,45000,108타입
87,2015.12.05,40900,108타입
88,2015.11.29,47000,108타입
89,2015.11.23,47000,108타입
90,2015.10.27,47300,108타입
91,2015.10.24,46500,108타입
92,2015.10.16,46750,108타입
93,2015.10.13,43500,108타입
